11-24 17-06-13: Training starting...
11-24 17-06-14: New best reward 1.0 at episode 0, saving model...
11-24 17-06-14: New best reward 2.0 at episode 1, saving model...
11-24 17-06-15: New best reward 3.0 at episode 9, saving model...
11-24 17-06-17: New best reward 4.0 at episode 17, saving model...
11-24 17-06-18: New best reward 5.0 at episode 23, saving model...
11-24 17-06-42: New best reward 7.0 at episode 170, saving model...
11-24 17-06-44: New best reward 8.0 at episode 182, saving model...
11-24 17-10-18: New best reward 9.0 at episode 1287, saving model...
11-24 17-10-56: New best reward 12.0 at episode 1446, saving model...
11-24 17-36-50: New best reward 14.0 at episode 5367, saving model...
11-24 20-00-45: New best reward 15.0 at episode 23245, saving model...
11-24 20-22-21: New best reward 17.0 at episode 26216, saving model...
11-24 22-26-12: New best reward 19.0 at episode 41287, saving model...
11-25 00-18-44: New best reward 22.0 at episode 52044, saving model...
11-25 01-08-42: New best reward 24.0 at episode 56134, saving model...
11-25 02-03-21: New best reward 30.0 at episode 60384, saving model...
11-25 06-10-41: New best reward 33.0 at episode 78872, saving model...
