episode,total_steps,reward,rolling_reward_100,epsilon,loss
42,1278,0.0,0.13953488372093023,0.9751708,2.2963411538512446e-05
43,1399,2.0,0.18181818181818182,0.9746956,3.104659845121205e-05
44,1423,0.0,0.17777777777777778,0.9722998,0.007761321496218443
45,1522,2.0,0.21739130434782608,0.9718246,0.0038350741378962994
46,1546,0.0,0.2127659574468085,0.9698644,0.003991131205111742
47,1570,0.0,0.20833333333333334,0.9693892,4.541179441730492e-05
48,1643,1.0,0.22448979591836735,0.968914,0.003942323382943869
49,1667,0.0,0.22,0.9674686,6.101131657487713e-05
50,1691,0.0,0.21568627450980393,0.9669934,0.007729531731456518
51,1715,0.0,0.21153846153846154,0.9665182,0.0077473800629377365
52,1739,0.0,0.20754716981132076,0.966043,0.003964386880397797
53,1763,0.0,0.2037037037037037,0.9655678,0.011588146910071373
54,1836,1.0,0.21818181818181817,0.9650926,0.0115494504570961
55,1860,0.0,0.21428571428571427,0.9636472,0.004098391626030207
56,1931,1.0,0.22807017543859648,0.963172,0.003899460658431053
57,1955,0.0,0.22413793103448276,0.9617662,0.011351357214152813
58,1979,0.0,0.22033898305084745,0.961291,0.011244494467973709
59,2003,0.0,0.21666666666666667,0.9608158,0.0002885643334593624
60,2027,0.0,0.21311475409836064,0.9603406,0.00021561825997196138
61,2051,0.0,0.20967741935483872,0.9598654,0.00041881672223098576
62,2150,2.0,0.23809523809523808,0.9593902,0.008640590123832226
63,2174,0.0,0.234375,0.95743,0.0008659674203954637
64,2198,0.0,0.23076923076923078,0.9569548,0.00507178483530879
65,2251,1.0,0.24242424242424243,0.9564796,0.000755280430894345
66,2275,0.0,0.23880597014925373,0.9554302,0.0007244885200634599
67,2299,0.0,0.23529411764705882,0.954955,0.0006144860526546836
68,2370,1.0,0.2463768115942029,0.9544798,0.008506962098181248
69,2394,0.0,0.24285714285714285,0.953074,0.008687674067914486
70,2418,0.0,0.23943661971830985,0.9525988,0.008270272053778172
71,2442,0.0,0.2361111111111111,0.9521236,0.004192700609564781
72,2466,0.0,0.2328767123287671,0.9516484,0.0006058969884179533
73,2490,0.0,0.22972972972972974,0.9511731999999999,0.004242999479174614
74,2514,0.0,0.22666666666666666,0.950698,0.0007339480216614902
75,2538,0.0,0.2236842105263158,0.9502228,0.004444457590579987
76,2562,0.0,0.22077922077922077,0.9497476,0.0007195029756985605
77,2586,0.0,0.21794871794871795,0.9492724,0.0006501850439235568
78,2657,1.0,0.22784810126582278,0.9487972,0.0006652608863078058
79,2681,0.0,0.225,0.9473914,0.015139064751565456
80,2752,1.0,0.2345679012345679,0.9469162,0.0004625994188245386
81,2776,0.0,0.23170731707317074,0.9455104,0.004221274051815271
82,2800,0.0,0.2289156626506024,0.9450352,0.004141450393944979
83,2824,0.0,0.2261904761904762,0.94456,0.0002996034745592624
84,2848,0.0,0.2235294117647059,0.9440848,0.0040764957666397095
85,2872,0.0,0.22093023255813954,0.9436096,0.00020577605755534023
86,2896,0.0,0.21839080459770116,0.9431344,0.00013467436656355858
87,2920,0.0,0.2159090909090909,0.9426592,0.003995067439973354
88,2991,1.0,0.2247191011235955,0.942184,0.00765784690156579
89,3091,2.0,0.24444444444444444,0.9407782,8.740047633182257e-05
90,3115,0.0,0.24175824175824176,0.9387982,0.0038157401140779257
91,3139,0.0,0.2391304347826087,0.938323,0.00015089806402102113
92,3163,0.0,0.23655913978494625,0.9378478,0.00016028803656809032
93,3234,1.0,0.24468085106382978,0.9373726,0.00011872308823512867
94,3283,1.0,0.25263157894736843,0.9359668,0.0001224824954988435
95,3307,0.0,0.25,0.9349966,3.004315476573538e-05
96,3331,0.0,0.24742268041237114,0.9345214,0.003902602707967162
97,3355,0.0,0.24489795918367346,0.9340462,2.3430271539837122e-05
98,3379,0.0,0.24242424242424243,0.933571,2.0756995581905358e-05
99,3403,0.0,0.24,0.9330958,1.8686885596252978e-05
100,3427,0.0,0.24,0.9326206,0.003974040970206261
101,3451,0.0,0.24,0.9321454,1.4245934835344087e-05
102,3475,0.0,0.24,0.9316702,0.0038579341489821672
103,3499,0.0,0.24,0.931195,0.0038566305302083492
104,3523,0.0,0.24,0.9307198,1.967845128092449e-05
105,3547,0.0,0.24,0.9302446,2.6494815756450407e-05
106,3618,1.0,0.25,0.9297694,2.1275689505273476e-05
107,3712,2.0,0.27,0.9283636,0.0038448693230748177
108,3736,0.0,0.27,0.9265024,2.3326958398683928e-05
109,3760,0.0,0.27,0.9260272,2.6799505576491356e-05
110,3784,0.0,0.27,0.925552,0.0038447738625109196
111,3808,0.0,0.27,0.9250768,0.011703107506036758
112,3910,2.0,0.27,0.9246016,0.0039233858697116375
113,3934,0.0,0.27,0.922582,1.6792395399534144e-05
114,3989,1.0,0.28,0.9221068,1.4925112736818846e-05
115,4013,0.0,0.28,0.9210178,0.0038671481888741255
116,4084,1.0,0.28,0.9205426,2.0533763745334e-05
117,4108,0.0,0.28,0.9191368,0.004034698009490967
118,4161,1.0,0.29,0.9186616,0.003941614646464586
119,4185,0.0,0.29,0.9176122,1.8571112377685495e-05
120,4209,0.0,0.29,0.917137,1.3216913430369459e-05
121,4233,0.0,0.29,0.9166618,1.0638450476108119e-05
122,4257,0.0,0.29,0.9161866,1.298376992053818e-05
123,4310,1.0,0.3,0.9157114,1.324238382949261e-05
124,4381,1.0,0.31,0.914662,0.003944155760109425
125,4405,0.0,0.31,0.9132562,0.007790937088429928
126,4429,0.0,0.31,0.912781,0.003913152497261763
