episode,total_steps,reward,rolling_reward_100,epsilon,loss
0,24,0.0,0.0,1,nan
1,48,0.0,0.0,1,nan
2,72,0.0,0.0,1,nan
3,195,2.0,0.5,0.999996,0.0027282736264169216
4,219,0.0,0.4,0.999992000016,0.0012216860195621848
5,243,0.0,0.3333333333333333,0.9999880000479999,0.017644913867115974
6,267,0.0,0.2857142857142857,0.9999840000959997,0.024904286488890648
7,291,0.0,0.25,0.9999800001599993,0.00800406839698553
8,315,0.0,0.2222222222222222,0.9999760002399987,0.0001004501391435042
9,339,0.0,0.2,0.9999720003359976,0.004887707997113466
10,363,0.0,0.18181818181818182,0.9999680004479963,0.011463664472103119
11,387,0.0,0.16666666666666666,0.9999640005759944,0.005111732520163059
12,411,0.0,0.15384615384615385,0.9999600007199921,0.010911474004387856
13,435,0.0,0.14285714285714285,0.9999560008799893,0.010143149644136429
14,459,0.0,0.13333333333333333,0.9999520010559857,0.0033741621300578117
15,483,0.0,0.125,0.9999480012479814,0.002456103451550007
16,582,2.0,0.23529411764705882,0.9999440014559764,0.008560700342059135
17,606,0.0,0.2222222222222222,0.9999400016799705,0.001812150003388524
18,630,0.0,0.21052631578947367,0.9999360019199638,0.00831310823559761
19,654,0.0,0.2,0.9999320021759561,0.0014346654061228037
20,678,0.0,0.19047619047619047,0.9999280024479474,0.0010651068296283484
21,702,0.0,0.18181818181818182,0.9999240027359376,0.007714494597166777
22,755,1.0,0.21739130434782608,0.9999200030399267,0.008481345139443874
23,779,0.0,0.20833333333333334,0.9999160033599145,0.007642711512744427
24,803,0.0,0.2,0.999912003695901,0.0003685190458782017
25,827,0.0,0.19230769230769232,0.9999080040478863,0.000292634911602363
26,900,1.0,0.2222222222222222,0.99990400441587,0.00023751768458168954
27,924,0.0,0.21428571428571427,0.9999000047998523,0.0001632107887417078
28,948,0.0,0.20689655172413793,0.9998960051998331,0.007608202751725912
29,972,0.0,0.2,0.9998920056158124,8.99686710909009e-05
30,996,0.0,0.1935483870967742,0.9998880060477899,0.02377234399318695
31,1020,0.0,0.1875,0.9998840064957657,6.252351886359975e-05
32,1044,0.0,0.18181818181818182,0.9998800069597397,5.867920117452741e-05
33,1068,0.0,0.17647058823529413,0.9998760074397118,5.159851207281463e-05
34,1092,0.0,0.17142857142857143,0.9998720079356821,5.28966193087399e-05
35,1116,0.0,0.16666666666666666,0.9998680084476503,3.21097468258813e-05
36,1140,0.0,0.16216216216216217,0.9998640089756166,3.289783853688277e-05
