episode,total_steps,reward,rolling_reward_100,epsilon,loss
0,54,1.0,1.0,0.99994654,nan
1,127,3.0,2.0,0.99987427,nan
2,188,1.0,1.6666666666666667,0.99981388,nan
3,240,2.0,1.75,0.9997624,nan
4,310,1.0,1.6,0.9996931,nan
5,380,3.0,1.8333333333333333,0.9996238,nan
6,440,1.0,1.7142857142857142,0.9995644,nan
7,506,1.0,1.625,0.99949906,nan
8,592,5.0,2.0,0.99941392,nan
9,684,4.0,2.2,0.99932284,nan
10,756,1.0,2.090909090909091,0.99925156,nan
11,836,3.0,2.1666666666666665,0.99917236,nan
12,912,4.0,2.3076923076923075,0.99909712,nan
13,976,2.0,2.2857142857142856,0.99903376,nan
14,1036,2.0,2.2666666666666666,0.99897436,nan
15,1122,4.0,2.375,0.99888922,nan
16,1198,2.0,2.3529411764705883,0.99881398,nan
17,1257,1.0,2.2777777777777777,0.99875557,nan
18,1363,5.0,2.4210526315789473,0.99865063,nan
19,1420,1.0,2.35,0.9985942,nan
20,1508,4.0,2.4285714285714284,0.99850708,nan
21,1582,0.0,2.3181818181818183,0.99843382,nan
22,1635,1.0,2.260869565217391,0.99838135,nan
23,1700,2.0,2.25,0.998317,nan
24,1771,4.0,2.32,0.99824671,nan
25,1839,2.0,2.3076923076923075,0.99817939,nan
26,1903,2.0,2.2962962962962963,0.99811603,nan
27,1993,3.0,2.3214285714285716,0.99802693,nan
28,2064,2.0,2.310344827586207,0.99795664,nan
29,2177,6.0,2.433333333333333,0.99784477,nan
30,2244,3.0,2.4516129032258065,0.99777844,nan
31,2340,4.0,2.5,0.9976834,nan
32,2415,2.0,2.484848484848485,0.99760915,nan
33,2489,2.0,2.4705882352941178,0.99753589,nan
34,2540,0.0,2.4,0.9974854,nan
35,2623,3.0,2.4166666666666665,0.99740323,nan
36,2672,0.0,2.3513513513513513,0.99735472,nan
37,2725,2.0,2.3421052631578947,0.99730225,nan
38,2783,0.0,2.282051282051282,0.99724483,nan
39,2842,1.0,2.25,0.99718642,nan
40,2940,3.0,2.268292682926829,0.9970894,nan
41,2993,1.0,2.238095238095238,0.99703693,nan
42,3080,1.0,2.2093023255813953,0.9969508,nan
43,3151,1.0,2.1818181818181817,0.99688051,nan
44,3229,3.0,2.2,0.99680329,nan
45,3301,1.0,2.1739130434782608,0.99673201,nan
46,3377,2.0,2.1702127659574466,0.99665677,nan
47,3460,2.0,2.1666666666666665,0.9965746,nan
48,3545,2.0,2.163265306122449,0.99649045,nan
49,3620,4.0,2.2,0.9964162,nan
50,3709,2.0,2.196078431372549,0.99632809,nan
51,3785,2.0,2.1923076923076925,0.99625285,nan
52,3859,1.0,2.169811320754717,0.99617959,nan
53,3896,0.0,2.1296296296296298,0.99614296,nan
54,3976,3.0,2.1454545454545455,0.99606376,nan
55,4045,3.0,2.1607142857142856,0.99599545,nan
56,4120,2.0,2.1578947368421053,0.9959212,nan
57,4196,1.0,2.1379310344827585,0.99584596,nan
58,4265,2.0,2.135593220338983,0.99577765,nan
59,4350,2.0,2.1333333333333333,0.9956935,nan
