episode,total_steps,reward,rolling_reward_100,epsilon,loss
0,82,5.0,5.0,1,nan
1,132,1.0,3.0,0.999996,0.032474931329488754
2,213,4.0,3.3333333333333335,0.999992000016,0.02975451946258545
3,270,1.0,2.75,0.9999880000479999,0.008703215047717094
4,323,1.0,2.4,0.9999840000959997,0.02251020446419716
5,372,0.0,2.0,0.9999800001599993,0.008830050006508827
6,429,1.0,1.8571428571428572,0.9999760002399987,0.022515693679451942
7,509,4.0,2.125,0.9999720003359976,0.008093567565083504
8,563,2.0,2.111111111111111,0.9999680004479963,0.007959441281855106
9,598,0.0,1.9,0.9999640005759944,0.00030007719760760665
10,651,1.0,1.8181818181818181,0.9999600007199921,0.015414824709296227
11,713,1.0,1.75,0.9999560008799893,0.01551702618598938
12,762,1.0,1.6923076923076923,0.9999520010559857,0.015489691868424416
13,809,1.0,1.6428571428571428,0.9999480012479814,0.022366775199770927
14,870,0.0,1.5333333333333334,0.9999440014559764,0.02237279713153839
15,917,1.0,1.5,0.9999400016799705,0.02236281707882881
16,965,0.0,1.411764705882353,0.9999360019199638,0.022398537024855614
17,1042,3.0,1.5,0.9999320021759561,0.008066178299486637
18,1107,2.0,1.5263157894736843,0.9999280024479474,0.03743212670087814
19,1175,3.0,1.6,0.9999240027359376,0.007818883284926414
20,1291,5.0,1.7619047619047619,0.9999200030399267,0.00048326823161914945
21,1331,0.0,1.6818181818181819,0.9999160033599145,0.00040128661203198135
22,1383,1.0,1.6521739130434783,0.999912003695901,0.0003601385687943548
23,1436,2.0,1.6666666666666667,0.9999080040478863,0.022888988256454468
24,1484,1.0,1.64,0.99990400441587,0.0077615827322006226
25,1534,1.0,1.6153846153846154,0.9999000047998523,0.015687894076108932
26,1612,2.0,1.6296296296296295,0.9998960051998331,5.117709224577993e-05
27,1672,2.0,1.6428571428571428,0.9998920056158124,0.023369092494249344
28,1735,2.0,1.6551724137931034,0.9998880060477899,9.705428965389729e-05
29,1819,4.0,1.7333333333333334,0.9998840064957657,0.00015070565859787166
30,1852,0.0,1.6774193548387097,0.9998800069597397,0.008107161149382591
31,1902,1.0,1.65625,0.9998760074397118,0.01526885386556387
32,1982,3.0,1.696969696969697,0.9998720079356821,0.01524119358509779
33,2120,8.0,1.8823529411764706,0.9998680084476503,0.022331926971673965
34,2155,0.0,1.8285714285714285,0.9998640089756166,0.007963059470057487
35,2199,0.0,1.7777777777777777,0.9998600095195807,0.015236805193126202
36,2260,1.0,1.7567567567567568,0.9998560100795426,0.030393432825803757
37,2321,1.0,1.736842105263158,0.9998520106555023,0.007728747092187405
38,2391,2.0,1.7435897435897436,0.9998480112474597,0.022955453023314476
39,2456,2.0,1.75,0.9998440118554147,0.00021518499124795198
40,2502,1.0,1.7317073170731707,0.9998400124793673,0.0077235642820596695
41,2588,4.0,1.7857142857142858,0.9998360131193174,0.03028786927461624
42,2657,1.0,1.7674418604651163,0.9998320137752649,0.015275872312486172
43,2712,1.0,1.75,0.9998280144472098,0.03003876470029354
44,2758,0.0,1.711111111111111,0.9998240151351521,0.0224724430590868
45,2825,2.0,1.7173913043478262,0.9998200158390915,0.0012786504812538624
46,2887,0.0,1.6808510638297873,0.9998160165590282,0.02243872359395027
47,2935,1.0,1.6666666666666667,0.9998120172949619,0.015379328280687332
48,3030,5.0,1.7346938775510203,0.9998080180468928,0.015400484204292297
49,3087,1.0,1.72,0.9998040188148206,0.008262064307928085
50,3155,3.0,1.7450980392156863,0.9998000195987453,0.008185249753296375
51,3214,2.0,1.75,0.9997960203986669,0.008284337818622589
52,3250,0.0,1.7169811320754718,0.9997920212145853,0.0012660592328757048
53,3294,1.0,1.7037037037037037,0.9997880220465004,0.008066349662840366
54,3353,3.0,1.7272727272727273,0.9997840228944123,0.0005608513019979
55,3422,3.0,1.75,0.9997800237583206,0.015265402384102345
56,3494,3.0,1.7719298245614035,0.9997760246382256,0.015874020755290985
57,3571,3.0,1.793103448275862,0.999772025534127,0.016151513904333115
58,3637,1.0,1.7796610169491525,0.9997680264460249,0.016196422278881073
59,3713,3.0,1.8,0.9997640273739191,0.01621527224779129
60,3764,1.0,1.7868852459016393,0.9997600283178096,0.024137631058692932
61,3816,1.0,1.7741935483870968,0.9997560292776964,0.03185267746448517
62,3869,0.0,1.746031746031746,0.9997520302535793,0.00787811353802681
63,3956,2.0,1.75,0.9997480312454583,0.007771330885589123
64,4000,0.0,1.7230769230769232,0.9997440322533333,0.00017669631051830947
65,4068,2.0,1.7272727272727273,0.9997400332772043,0.007766651920974255
66,4147,3.0,1.7462686567164178,0.9997360343170711,0.0002467431768309325
67,4183,0.0,1.7205882352941178,0.9997320353729339,0.00025964347878471017
68,4230,1.0,1.710144927536232,0.9997280364447924,0.015340890735387802
69,4276,1.0,1.7,0.9997240375326466,0.015350136905908585
70,4344,2.0,1.704225352112676,0.9997200386364965,0.022970421239733696
71,4388,1.0,1.6944444444444444,0.9997160397563419,0.00777204055339098
72,4461,3.0,1.7123287671232876,0.9997120408921829,0.030393386259675026
73,4531,4.0,1.7432432432432432,0.9997080420440193,0.00038081061211414635
74,4588,2.0,1.7466666666666666,0.9997040432118511,0.0004423318023327738
75,4655,2.0,1.75,0.9997000443956783,0.015293248929083347
76,4698,1.0,1.7402597402597402,0.9996960455955007,0.02242768369615078
77,4759,1.0,1.7307692307692308,0.9996920468113184,0.008056209422647953
78,4855,4.0,1.759493670886076,0.9996880480431312,0.0009103858028538525
79,4943,4.0,1.7875,0.999684049290939,0.015238136053085327
80,5001,2.0,1.7901234567901234,0.9996800505547419,0.0006725124549120665
81,5060,3.0,1.8048780487804879,0.9996760518345397,0.029942337423563004
82,5120,2.0,1.8072289156626506,0.9996720531303324,0.02279132977128029
83,5191,4.0,1.8333333333333333,0.9996680544421198,0.015417983755469322
84,5239,0.0,1.811764705882353,0.999664055769902,0.015416077338159084
85,5285,1.0,1.802325581395349,0.9996600571136789,0.0009785119909793139
86,5352,3.0,1.8160919540229885,0.9996560584734504,0.030420225113630295
87,5431,1.0,1.8068181818181819,0.9996520598492165,0.02296416275203228
88,5535,5.0,1.8426966292134832,0.999648061240977,0.00783548690378666
89,5609,1.0,1.8333333333333333,0.9996440626487321,0.02289731241762638
90,5669,2.0,1.835164835164835,0.9996400640724815,0.000276759936241433
91,5734,1.0,1.826086956521739,0.9996360655122252,0.03031628578901291
92,5788,2.0,1.8279569892473118,0.9996320669679631,0.007954243570566177
93,5851,2.0,1.8297872340425532,0.9996280684396953,0.022455111145973206
94,5910,1.0,1.8210526315789475,0.9996240699274216,0.00817621499300003
95,5956,1.0,1.8125,0.9996200714311418,0.015282359905540943
96,6041,3.0,1.824742268041237,0.9996160729508561,0.015266076661646366
97,6103,1.0,1.816326530612245,0.9996120744865643,0.00815393216907978
98,6146,0.0,1.797979797979798,0.9996080760382664,0.0009340326068922877
99,6212,3.0,1.81,0.9996040776059623,0.0008094831719063222
100,6268,1.0,1.77,0.9996000791896519,0.00044139131205156446
101,6341,2.0,1.78,0.9995960807893352,0.0003638472408056259
102,6406,2.0,1.76,0.999592082405012,0.015310265123844147
103,6467,0.0,1.75,0.9995880840366823,0.030486203730106354
104,6572,5.0,1.79,0.9995840856843462,0.007770740892738104
105,6636,2.0,1.81,0.9995800873480034,0.007743492256850004
106,6691,2.0,1.82,0.999576089027654,0.015507113188505173
107,6747,1.0,1.79,0.9995720907232979,0.015779752284288406
108,6784,0.0,1.77,0.9995680924349349,6.789264443796128e-05
109,6824,0.0,1.77,0.9995640941625652,0.007905807346105576
110,6884,1.0,1.77,0.9995600959061886,0.007875492796301842
111,6940,1.0,1.77,0.9995560976658049,0.023564811795949936
112,6983,1.0,1.77,0.9995520994414142,0.02348991483449936
113,7071,3.0,1.79,0.9995481012330164,0.015221304260194302
114,7128,1.0,1.8,0.9995441030406115,0.015220845118165016
